hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
canada	26347394	10.45977011494252873780	.27586206896551724137	.02637362637362637362	16	58	72	2730
captain	26347394	47.06896551724137934046	.01724137931034482758	.00036630036630036630	1	58	1	2730
canada	26347394	10.45977011494252873780	.27586206896551724137	.02637362637362637362	16	58	72	2730
women	26347394	33.62068965517241382632	.08620689655172413793	.00256410256410256410	5	58	7	2730
hockey	26347394	188.27586206896551741647	.13793103448275862068	.00073260073260073260	8	58	2	2730
hockeytwitter	26347394	31.37931034482758623607	.03448275862068965517	.00109890109890109890	2	58	3	2730
going4gold	26347394	47.06896551724137935411	.03448275862068965517	.00073260073260073260	2	58	2	2730
olympics	26347394	15.68965517241379311348	.01724137931034482758	.00109890109890109890	1	58	3	2730
beijing2022	26347394	26.89655172413793105949	.06896551724137931034	.00256410256410256410	4	58	7	2730
gocanadago	26347394	38.51097178683385583642	.15517241379310344827	.00402930402930402930	9	58	11	2730
monobob	26347394	47.06896551724137934046	.01724137931034482758	.00036630036630036630	1	58	1	2730
women	26347394	33.62068965517241382632	.08620689655172413793	.00256410256410256410	5	58	7	2730
olympicgames	26347394	15.68965517241379311348	.01724137931034482758	.00109890109890109890	1	58	3	2730
gocanadago	26347394	38.51097178683385583642	.15517241379310344827	.00402930402930402930	9	58	11	2730
womenshockey	26347394	31.37931034482758623607	.03448275862068965517	.00109890109890109890	2	58	3	2730
maskup	26347394	.81153388822829964303	.01724137931034482758	.02124542124542124542	1	58	58	2730
gocanadago	26347394	38.51097178683385583642	.15517241379310344827	.00402930402930402930	9	58	11	2730
womenshockey	26347394	31.37931034482758623607	.03448275862068965517	.00109890109890109890	2	58	3	2730
canada	26347394	10.45977011494252873780	.27586206896551724137	.02637362637362637362	16	58	72	2730
go4gold	26347394	47.06896551724137934046	.01724137931034482758	.00036630036630036630	1	58	1	2730
